Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
0.2	Rtr1	0	dev[2]=net(0,0-2)	InData	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutData	13	16.3008
0.2	Rtr1	0	dev[2]=net(0,0-2)	DropData	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	InInterests	20	0.546875
0.2	Rtr1	1	dev[2]=net(1,1-2)	OutInterests	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	DropInterests	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	InNacks	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	OutNacks	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	DropNacks	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	InData	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	OutData	20	25.0781
0.2	Rtr1	1	dev[2]=net(1,1-2)	DropData	0	0
0.2	Rtr1	2	dev[2]=net(2,3-2)	InInterests	0	0
0.2	Rtr1	2	dev[2]=net(2,3-2)	OutInterests	16	0.4375
0.2	Rtr1	2	dev[2]=net(2,3-2)	DropInterests	0	0
0.2	Rtr1	2	dev[2]=net(2,3-2)	InNacks	0	0
0.2	Rtr1	2	dev[2]=net(2,3-2)	OutNacks	0	0
0.2	Rtr1	2	dev[2]=net(2,3-2)	DropNacks	0	0
0.2	Rtr1	2	dev[2]=net(2,3-2)	InData	16	20.0625
0.2	Rtr1	2	dev[2]=net(2,3-2)	OutData	0	0
0.2	Rtr1	2	dev[2]=net(2,3-2)	DropData	0	0
0.2	Rtr1	-1	all	SatisfiedInterests	33	0
0.2	Rtr1	-1	all	TimedOutInterests	0	0
0.2	Dst1	0	dev[3]=net(0,3-2)	InInterests	16	0.4375
0.2	Dst1	0	dev[3]=net(0,3-2)	OutInterests	0	0
0.2	Dst1	0	dev[3]=net(0,3-2)	DropInterests	0	0
0.2	Dst1	0	dev[3]=net(0,3-2)	InNacks	0	0
0.2	Dst1	0	dev[3]=net(0,3-2)	OutNacks	0	0
0.2	Dst1	0	dev[3]=net(0,3-2)	DropNacks	0	0
0.2	Dst1	0	dev[3]=net(0,3-2)	InData	0	0
0.2	Dst1	0	dev[3]=net(0,3-2)	OutData	16	20.0625
0.2	Dst1	0	dev[3]=net(0,3-2)	DropData	0	0
0.2	Dst1	1	dev=local(1)	InInterests	0	0
0.2	Dst1	1	dev=local(1)	OutInterests	16	0.4375
0.2	Dst1	1	dev=local(1)	DropInterests	0	0
0.2	Dst1	1	dev=local(1)	InNacks	0	0
0.2	Dst1	1	dev=local(1)	OutNacks	0	0
0.2	Dst1	1	dev=local(1)	DropNacks	0	0
0.2	Dst1	1	dev=local(1)	InData	16	0
0.2	Dst1	1	dev=local(1)	OutData	0	0
0.2	Dst1	1	dev=local(1)	DropData	0	0
0.2	Dst1	-1	all	SatisfiedInterests	16	0
0.2	Dst1	-1	all	TimedOutInterests	0	0
0.2	Dst2	0	dev[4]=net(0,4-2)	InInterests	16	0.4375
0.2	Dst2	0	dev[4]=net(0,4-2)	OutInterests	0	0
0.2	Dst2	0	dev[4]=net(0,4-2)	DropInterests	0	0
0.2	Dst2	0	dev[4]=net(0,4-2)	InNacks	0	0
0.2	Dst2	0	dev[4]=net(0,4-2)	OutNacks	0	0
0.2	Dst2	0	dev[4]=net(0,4-2)	DropNacks	0	0
