Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.2	Rtr1	0	dev[2]=net(0,0-2)	InInterests	4.8	0.129687	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	DropInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InNacks	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutNacks	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	DropNacks	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InData	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutData	1.6	2.00469	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	DropData	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InSatisfiedInterests	1.6	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InTimedOutInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutSatisfiedInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutTimedOutInterests	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	InInterests	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	OutInterests	9.6	0.259375	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	DropInterests	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	InNacks	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	OutNacks	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	DropNacks	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	InData	3.2	4.00937	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	OutData	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	DropData	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	InSatisfiedInterests	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	InTimedOutInterests	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	OutSatisfiedInterests	3.2	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	OutTimedOutInterests	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	InInterests	8	0.217187	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	OutInterests	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	DropInterests	3.2	0.0875	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	InNacks	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	OutNacks	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	DropNacks	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	InData	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	OutData	1.6	2.00469	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	DropData	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	InSatisfiedInterests	1.6	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	InTimedOutInterests	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	OutSatisfiedInterests	0	0	0	0
0.2	Rtr1	1	dev[2]=net(1,1-2)	OutTimedOutInterests	0	0	0	0
0.2	Rtr1	-1	all	SatisfiedInterests	3.2	0	0	0
0.2	Rtr1	-1	all	TimedOutInterests	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	InInterests	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	OutInterests	1.6	0.0421875	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	DropInterests	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	InNacks	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	OutNacks	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	DropNacks	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	InData	1.6	2.00469	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	OutData	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	DropData	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	InSatisfiedInterests	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	InTimedOutInterests	0	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	OutSatisfiedInterests	1.6	0	0	0
0.2	Rtr2	1	dev[3]=net(1,4-3)	OutTimedOutInterests	0	0	0	0
0.2	Rtr2	2	dev[3]=net(2,5-3)	InInterests	0	0	0	0
0.2	Rtr2	2	dev[3]=net(2,5-3)	OutInterests	1.6	0.0421875	0	0
0.2	Rtr2	2	dev[3]=net(2,5-3)	DropInterests	0	0	0	0
0.2	Rtr2	2	dev[3]=net(2,5-3)	InNacks	0	0	0	0
0.2	Rtr2	2	dev[3]=net(2,5-3)	OutNacks	0	0	0	0
0.2	Rtr2	2	dev[3]=net(2,5-3)	DropNacks	0	0	0	0
