Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.44	Src2	combined	Drop	0	0	0	0
0.44	Rtr1	combined	Drop	0	0	0	0
0.44	Rtr2	combined	Drop	0	0	0	0
0.44	Dst1	combined	Drop	0	0	0	0
0.44	Dst2	combined	Drop	0	0	0	0
0.45	Src1	combined	Drop	0	0	0	0
0.45	Src2	combined	Drop	0	0	0	0
0.45	Rtr1	combined	Drop	0	0	0	0
0.45	Rtr2	combined	Drop	0	0	0	0
0.45	Dst1	combined	Drop	0	0	0	0
0.45	Dst2	combined	Drop	0	0	0	0
0.46	Src1	combined	Drop	0	0	0	0
0.46	Src2	combined	Drop	0	0	0	0
0.46	Rtr1	combined	Drop	0	0	0	0
0.46	Rtr2	combined	Drop	0	0	0	0
0.46	Dst1	combined	Drop	0	0	0	0
0.46	Dst2	combined	Drop	0	0	0	0
0.47	Src1	combined	Drop	0	0	0	0
0.47	Src2	combined	Drop	0	0	0	0
0.47	Rtr1	combined	Drop	0	0	0	0
0.47	Rtr2	combined	Drop	0	0	0	0
0.47	Dst1	combined	Drop	0	0	0	0
0.47	Dst2	combined	Drop	0	0	0	0
0.48	Src1	combined	Drop	0	0	0	0
0.48	Src2	combined	Drop	0	0	0	0
0.48	Rtr1	combined	Drop	0	0	0	0
0.48	Rtr2	combined	Drop	0	0	0	0
0.48	Dst1	combined	Drop	0	0	0	0
0.48	Dst2	combined	Drop	0	0	0	0
0.49	Src1	combined	Drop	0	0	0	0
0.49	Src2	combined	Drop	0	0	0	0
0.49	Rtr1	combined	Drop	0	0	0	0
0.49	Rtr2	combined	Drop	0	0	0	0
0.49	Dst1	combined	Drop	0	0	0	0
0.49	Dst2	combined	Drop	0	0	0	0
0.5	Src1	combined	Drop	0	0	0	0
0.5	Src2	combined	Drop	0	0	0	0
0.5	Rtr1	combined	Drop	0	0	0	0
0.5	Rtr2	combined	Drop	0	0	0	0
0.5	Dst1	combined	Drop	0	0	0	0
0.5	Dst2	combined	Drop	0	0	0	0
0.51	Src1	combined	Drop	0	0	0	0
0.51	Src2	combined	Drop	0	0	0	0
0.51	Rtr1	combined	Drop	0	0	0	0
0.51	Rtr2	combined	Drop	0	0	0	0
0.51	Dst1	combined	Drop	0	0	0	0
0.51	Dst2	combined	Drop	0	0	0	0
0.52	Src1	combined	Drop	0	0	0	0
0.52	Src2	combined	Drop	0	0	0	0
0.52	Rtr1	combined	Drop	0	0	0	0
0.52	Rtr2	combined	Drop	0	0	0	0
0.52	Dst1	combined	Drop	0	0	0	0
0.52	Dst2	combined	Drop	0	0	0	0
0.53	Src1	combined	Drop	0	0	0	0
0.53	Src2	combined	Drop	0	0	0	0
0.53	Rtr1	combined	Drop	0	0	0	0
0.53	Rtr2	combined	Drop	0	0	0	0
0.53	Dst1	combined	Drop	0	0	0	0
0.53	Dst2	combined	Drop	0	0	0	0
0.54	Src1	combined	Drop	0	0	0	0
0.54	Src2	combined	Drop	0	0	0	0
0.54	Rtr1	combined	Drop	0	0	0	0
0.54	Rtr2	combined	Drop	0	0	0	0
0.54	Dst1	combined	Drop	0	0	0	0
0.54	Dst2	combined	Drop	0	0	0	0
0.55	Src1	combined	Drop	0	0	0	0
0.55	Src2	combined	Drop	0	0	0	0
0.55	Rtr1	combined	Drop	0	0	0	0
0.55	Rtr2	combined	Drop	0	0	0	0
0.55	Dst1	combined	Drop	0	0	0	0
0.55	Dst2	combined	Drop	0	0	0	0
0.56	Src1	combined	Drop	0	0	0	0
0.56	Src2	combined	Drop	0	0	0	0
0.56	Rtr1	combined	Drop	0	0	0	0
0.56	Rtr2	combined	Drop	0	0	0	0
0.56	Dst1	combined	Drop	0	0	0	0
0.56	Dst2	combined	Drop	0	0	0	0
0.57	Src1	combined	Drop	0	0	0	0
0.57	Src2	combined	Drop	0	0	0	0
0.57	Rtr1	combined	Drop	0	0	0	0
0.57	Rtr2	combined	Drop	0	0	0	0
0.57	Dst1	combined	Drop	0	0	0	0
0.57	Dst2	combined	Drop	0	0	0	0
0.58	Src1	combined	Drop	0	0	0	0
0.58	Src2	combined	Drop	0	0	0	0
0.58	Rtr1	combined	Drop	0	0	0	0
0.58	Rtr2	combined	Drop	0	0	0	0
0.58	Dst1	combined	Drop	0	0	0	0
0.58	Dst2	combined	Drop	0	0	0	0
0.59	Src1	combined	Drop	0	0	0	0
0.59	Src2	combined	Drop	0	0	0	0
0.59	Rtr1	combined	Drop	0	0	0	0
0.59	Rtr2	combined	Drop	0	0	0	0
0.59	Dst1	combined	Drop	0	0	0	0
0.59	Dst2	combined	Drop	0	0	0	0
0.6	Src1	combined	Drop	0	0	0	0
0.6	Src2	combined	Drop	0	0	0	0
0.6	Rtr1	combined	Drop	0	0	0	0
0.6	Rtr2	combined	Drop	0	0	0	0
0.6	Dst1	combined	Drop	0	0	0	0
0.6	Dst2	combined	Drop	0	0	0	0
0.61	Src1	combined	Drop	0	0	0	0
0.61	Src2	combined	Drop	0	0	0	0
0.61	Rtr1	combined	Drop	0	0	0	0
0.61	Rtr2	combined	Drop	0	0	0	0
0.61	Dst1	combined	Drop	0	0	0	0
0.61	Dst2	combined	Drop	0	0	0	0
0.62	Src1	combined	Drop	0	0	0	0
0.62	Src2	combined	Drop	0	0	0	0
0.62	Rtr1	combined	Drop	0	0	0	0
0.62	Rtr2	combined	Drop	0	0	0	0
0.62	Dst1	combined	Drop	0	0	0	0
0.62	Dst2	combined	Drop	0	0	0	0
0.63	Src1	combined	Drop	0	0	0	0
0.63	Src2	combined	Drop	0	0	0	0
0.63	Rtr1	combined	Drop	0	0	0	0
0.63	Rtr2	combined	Drop	0	0	0	0
0.63	Dst1	combined	Drop	0	0	0	0
0.63	Dst2	combined	Drop	0	0	0	0
0.64	Src1	combined	Drop	0	0	0	0
0.64	Src2	combined	Drop	0	0	0	0
0.64	Rtr1	combined	Drop	0	0	0	0
0.64	Rtr2	combined	Drop	0	0	0	0
0.64	Dst1	combined	Drop	0	0	0	0
0.64	Dst2	combined	Drop	0	0	0	0
0.65	Src1	combined	Drop	0	0	0	0
0.65	Src2	combined	Drop	0	0	0	0
0.65	Rtr1	combined	Drop	0	0	0	0
0.65	Rtr2	combined	Drop	0	0	0	0
0.65	Dst1	combined	Drop	0	0	0	0
0.65	Dst2	combined	Drop	0	0	0	0
0.66	Src1	combined	Drop	0	0	0	0
0.66	Src2	combined	Drop	0	0	0	0
0.66	Rtr1	combined	Drop	0	0	0	0
0.66	Rtr2	combined	Drop	0	0	0	0
0.66	Dst1	combined	Drop	0	0	0	0
0.66	Dst2	combined	Drop	0	0	0	0
